Servicios,Acuaquinetix es un centro de acuaterapia y rehabilitación física ofrece una variedad de servicios... incluyendo rehabilitación física con natación y aprendizaje de nuevas habilidades para mejora de tu movilidad que te permiten ganar bienestar para día a día... <br> <img src="/static/acuaquinetix-logo.jpg" style="max-width:90%;"> <br> Prueba una consulta o selecciona un tema <br> <a class="chatSuggest" onclick="$(this).hide(); chatSuggest('Acuaterapia')";>Acuaterapia</a><br> <a class="chatSuggest" onclick="$(this).hide(); chatSuggest('Actividad Física Adaptada')";>Actividad Física Adaptada</a><br> <a class="chatSuggest" onclick="$(this).hide(); chatSuggest('Atención a padecimientos')";>Atención a padecimientos</a><br> <a class="chatSuggest" onclick="$(this).hide(); chatSuggest('Ms. Leobardo Bustillos')";>Ms. Leobardo Bustillos</a><br> <a class="chatSuggest" onclick="$(this).hide(); chatSuggest('Otro')";>Otro</a><br>
Actividad Física Adaptada,La AFA se define como todo movimiento actividad física o deporte en los que se expone especial énfasis en los intereses y las capacidades de las personas con condiciones limitantes como discapacidad: Sensorial... motriz... espina bífida... mental y psicológica... entre otras <br> <img src="/static/afa.jpg" style="max-width:90%;"> <br> Su principal objetivo es alcanzar la óptima competencia motriz de forma autónoma crítica y creativa así como expresiva... Igualmente en la vida cotidiana y laboral. Esto implica incluirse y adaptarse... es decir ocasionar que ser productivos en todos los ámbitos de lo biopsicosocial <br><a class="chatSuggest" onclick="$(this).hide(); chatSuggest('Otro')";>Mas información</a><br>
Acuaterapia,La acuaterapia ofrece una solución efectiva y agradable para la rehabilitación y el bienestar utilizando las bondades del agua en una variedad de situaciones... <br> <img src="/static/natacion-adultos.jpg" style="max-width:90%;"> <br> Sus beneficios incluyen la reducción de la carga en las articulaciones... el fortalecimiento muscular la estimulación neuromuscular así como el alivio del dolor y la mejora de la salud mental <a class="chatSuggest" onclick="$(this).hide(); chatSuggest('Otro')";>Mas información</a><br>
¿Cómo puedo contactar a Acuaquinetix?,Puedes contactar a Acuaquinetix a través de nuestras redes sociales o llamando al +52<a href="tel:(646) 388-18-42">(646) 388-18-42</a> o al +52<a href="tel:(646) 342-05-79">(646) 342-05-79</a>. ¡Gracias! <br> <a class="chatSuggest" onclick="$(this).hide(); chatSuggest('Enviar mis datos')";>Prefiero dejar mis datos</a><br>
¿Cuáles son los beneficios de la natación en Acuaquinetix?,La natación en Acuaquinetix puede ayudarte a aliviar el dolor así como mejorar la condición física y ganar movilidad
¿Cuántos años de experiencia tiene Acuaquinetix?,Acuaquinetix tiene décadas de experiencia apoyando a personas en su recuperación y mejora física.
¿Qué diferencia a Acuaquinetix de otros centros de rehabilitación?,Acuaquinetix se destaca por su enfoque integral en la rehabilitación y su dedicación a ayudar a los clientes a lograr sus metas.
direccion|¿En qué dirección se encuentran|dónde está la clínica Acuaquinetix?,Visita nuestras instalaciones en Calz de las Águilas 202 casi llegando a la Av. Reforma en Ensenada BC. MX... si prefieres llámanos para agendar una valoración al +52(646) 388-18-42 o al +52(646) 342-05-79
Dónde está ubicado?, Creo que te refieres a <br> <a class="chatSuggest" onclick="$(this).hide(); chatSuggest('Ubicación')";>Ubicación</a>
Ubicación,Visita nuestras instalaciones en Calz de las Águilas no. 202 a dos cuadras de la Av. Reforma en Ensenada B.C... haz click en el mapa para referencias fotos y reseñas... o si prefieres llámanos para agendar una valoración<br> <a class="chatSuggest" onclick="$(this).hide(); chatSuggest('Atención telefónica')";>Atención telefónica</a><br> <a class="chatSuggest" onclick="$(this).hide(); chatSuggest('Otro')";>Mas información</a><br> <a href="https://maps.app.goo.gl/suiQUhH4piSeCQax7" target="_blank"><img src="/static/location-acuaquinetix.jpg" style="max-width:90%;"></a>
¿Qué es Acuaquinetix?,¡Acuaquinetix es un lugar genial para recuperarte mejorar tu movilidad y aprender a nadar! ¿Quieres saber de precios? ¿de nuestros servicios o de cómo podemos ayudarte?
¿Qué servicios chidos ofrece Acuaquinetix?,En Acuaquinetix se ofrece de todo... desde rehabilitación física hasta clases de natación.
¿Cómo le hago para contactar a Acuaquinetix?,Puedes contactar con Acuaquinetix por nuestras redes sociales o llamando al +52<a href="tel:(646) 388-18-42">(646) 388-18-42</a> o al +52<a href="tel:(646) 342-05-79">(646) 342-05-79</a>. ¡Gracias! <br> <a class="chatSuggest" onclick="$(this).hide(); chatSuggest('Enviar mis datos')";>Prefiero dejar mis datos</a><br>
¿Qué ganas con la natación en Acuaquinetix?,¡Nadar en Acuaquinetix te quita el dolor ¡también te pone en forma y te hace más ágil combinado con nuestros programas personalizados!
¿Cuántos años lleva Acuaquinetix?,Acuaquinetix tiene muchísimos años de experiencia ayudando a la gente a sentirse mejor. Sería bueno para ti visitarnos y que lo comprubes;)
¿Por qué Acuaquinetix es la neta?,Acuaquinetix está en onda porque se enfocan en ayudarte a cumplir tus metas personales y físicas.
¿Qué ofrecemos en nuestros programas?,- Tratamiento personalizado: Cada programa de tratamiento es individual acorde al paciente\r\n- Una clínica cómoda: Nuestros espacios y equipos se ven y son realmente accesibles\r\n- Terapistas certificados: Todo tratamiento es aplicado y supervisado por profesionales\r\n- Trabajamos por tu salud: Trabajamos dando continuidad al diagnóstico médico indicado\r\n- Staff amigable: El equipo de trabajo está listo para trabajar cercano al paciente\r\n- Medimos el progreso: Mediante objetivos cumplidos evaluamos el progreso
¿Cómo solicito una cita?|Tienen citas disponibles?|hay que hacer cita?,Puedes llamarnos para agendar una valoración al +52<a href="tel:(646) 388-18-42">(646) 388-18-42</a> o al +52<a href="tel:(646) 342-05-79">(646) 342-05-79</a>. ¡Gracias! <br> <a class="chatSuggest" onclick="$(this).hide(); chatSuggest('Enviar mis datos')";>Prefiero dejar mis datos</a><br>
Ms. Leobardo Bustillos,Leo Bustillos se encuentra a cargo de Acuaquinetix y es graduado en 1984 de la Escuela Superior de Educación Física en la Ciudad de México considerada la mejor escuela de educación física. Cuenta con estudios de posgrado en la ciudad de La Habana Cuba por la Universidad de Ciencias de la Cultura Física y Deportes Manuel Fajardo en la Maestría en Cultura Física Terapéutica. En sus más de 30 años de experiencia ha logrado tratar con éxito a muchas personas para reintegrarlas a las actividades del día a día... mejorando así la calidad de vida de los pacientes <a class="chatSuggest" onclick="$(this).hide(); chatSuggest('Otro')";>Mas información</a><br>
¿Quién está a cargo de Acuaquinetix?,Leo Bustillos se encuentra a cargo de Acuaquinetix y es graduado en 1984 de la Escuela Superior de Educación Física en la Ciudad de México considerada la mejor escuela de educación física. Cuenta con estudios de posgrado en la ciudad de La Habana Cuba por la Universidad de Ciencias de la Cultura Física y Deportes Manuel Fajardo en la Maestría en Cultura Física Terapéutica. En sus más de 30 años de experiencia ha logrado tratar con éxito a muchas personas para reintegrarlas a las actividades del día a día... mejorando así su calidad de vida
Atención a padecimientos,Contamos con experiencia en el tratamiento para recuperación de diferentes padecimientos... si no encuentras el que buscas prueba ponerte en contacto al teléfono... las opciones son:<br> <a class="chatSuggest" onclick="$(this).hide(); chatSuggest('Neurodegenerativos')";>Neurodegenerativos</a><br> <a class="chatSuggest" onclick="$(this).hide(); chatSuggest('Lesiones deportivas')";>Lesiones deportivas</a><br> <a class="chatSuggest" onclick="$(this).hide(); chatSuggest('Obesidad/Diabetes')";>Obesidad/Diabetes</a><br> <a class="chatSuggest" onclick="$(this).hide(); chatSuggest('Respiratorios/PostCovid')";>Respiratorios/PostCovid</a><br> <a class="chatSuggest" onclick="$(this).hide(); chatSuggest('Cardíacos')";>Cardíacos</a><br> <a class="chatSuggest" onclick="$(this).hide(); chatSuggest('Musculares')";>Musculares</a><br> <a class="chatSuggest" onclick="$(this).hide(); chatSuggest('Fracturas/Esguinces')";>Fracturas/Esguinces</a><br> <a class="chatSuggest" onclick="$(this).hide(); chatSuggest('Columna/Hernias')";>Columna/Hernias</a><br> <a class="chatSuggest" onclick="$(this).hide(); chatSuggest('Huesos/Artrosis')";>Huesos/Artrosis</a><br> <a class="chatSuggest" onclick="$(this).hide(); chatSuggest('Artritis')";>Artritis</a><br> <a class="chatSuggest" onclick="$(this).hide(); chatSuggest('Parkinson/Temblor')";>Parkinson/Temblor</a><br> <a class="chatSuggest" onclick="$(this).hide(); chatSuggest('Post-Operatorio')";>Post-Operatorio</a><br> <a class="chatSuggest" onclick="$(this).hide(); chatSuggest('ACV/Embolias')";>ACV/Embolias</a><br> <a class="chatSuggest" onclick="$(this).hide(); chatSuggest('Atención telefónica')";>Atención telefónica</a><br> <a class="chatSuggest" onclick="$(this).hide(); chatSuggest('Otro')";>Otra consulta...</a><br>
Neurodegenerativos,Contamos con experiencia en diversos problemas neurodegenerativos ya sean causados por accidente o genética... Tenemos confianza que podemos encontrar un programa que funcione para mejora del bienestar y la funcionalidad. Solicita una consulta telefónica para programar una valoración en nuestras instalaciones. <br><a class="chatSuggest" onclick="$(this).hide(); chatSuggest('Atención telefónica')";>Atención telefónica</a><br> <a class="chatSuggest" onclick="$(this).hide(); chatSuggest('Servicios')";>Sobre Acuaquinetix</a>
Lesiones deportivas,La acuaterapia puede ser beneficiosa para las lesiones deportivas... La resistencia en el agua ayuda a fortalecer los músculos sin causar demasiada presión en las articulaciones. También mejora la flexibilidad y la circulación entre otros beneficios. Podemos encontrar un programa que te funcione para tratamiento de un padecimiento en el agua de manera controlada.<br>Solicita una consulta telefónica para programar una valoración en nuestras instalaciones. <br><a class="chatSuggest" onclick="$(this).hide(); chatSuggest('Atención telefónica')";>Atención telefónica</a><br> <a class="chatSuggest" onclick="$(this).hide(); chatSuggest('Servicios')";>Sobre Acuaquinetix</a>
Obesidad/Diabetes,La acuaterapia es beneficiosa para la obesidad y la diabetes. En el agua puedes ejercitarte de manera suave y efectiva. Este ejercicio ayuda a quemar calorías y mejora la sensibilidad a la insulina. Podemos elaborar un programa de ejercicios en agua que funcione para ti.<br>Hablemos más en consulta en nuestras instalaciones.<br><a class="chatSuggest" onclick="$(this).hide(); chatSuggest('Atención telefónica')";>Atención telefónica</a><br> <a class="chatSuggest" onclick="$(this).hide(); chatSuggest('Servicios')";>Sobre Acuaquinetix</a>
Respiratorios/PostCovid,La fisioterapia es crucial para la recuperación de problemas respiratorios como en el caso de post-COVID y otras detonantes. Los ejercicios respiratorios y de expansión pulmonar ayudan a mejorar la función pulmonar y el agua es un gran medio para ello. Trabajaremos juntos para fortalecer tus músculos respiratorios y aumentar tu capacidad pulmonar. Es posible programar una consulta para abordar esto más a fondo mientras conoces nuestras instalaciones. <br><a class="chatSuggest" onclick="$(this).hide(); chatSuggest('Atención telefónica')";>Atención telefónica</a><br> <a class="chatSuggest" onclick="$(this).hide(); chatSuggest('Servicios')";>Sobre Acuaquinetix</a>
Cardíacos,La acuaterapia es beneficiosa para problemas cardíacos. En el agua hay ejercicios suaves para el corazón y estos ayudan a mejorar la circulación. Esto puede fortalecer tu corazón y reducir riesgos en un padecimiento existente o prevenirlo. Hablemos más en consulta para bosquejar un plan de tratamiento que funcione.<br>Solicita una consulta telefónica para programar una valoración en nuestras instalaciones. <br><a class="chatSuggest" onclick="$(this).hide(); chatSuggest('Atención telefónica')";>Atención telefónica</a><br> <a class="chatSuggest" onclick="$(this).hide(); chatSuggest('Servicios')";>Sobre Acuaquinetix</a>
Musculares,La acuaterapia es efectiva para problemas musculares. En el agua hay ejercicios suaves para los músculos y articulaciones... esto alivia el dolor y mejora la flexibilidad. Trabajaremos juntos en un plan de ejercicios en el agua para ayudarte a recuperarte. Hablemos más en consulta para personalizar tu tratamiento.<br>Solicita una consulta telefónica para programar una valoración en nuestras instalaciones. <br><a class="chatSuggest" onclick="$(this).hide(); chatSuggest('Atención telefónica')";>Atención telefónica</a><br> <a class="chatSuggest" onclick="$(this).hide(); chatSuggest('Servicios')";>Sobre Acuaquinetix</a>
Fracturas/Esguinces,La acuaterapia es beneficiosa para fracturas y esguinces. En el agua la presión es menor y se logra así reducir la tensión en los huesos y ligamentos. Esto facilita la recuperación y fortalece los músculos circundantes. Podemos encontrar juntos ejercicios acuáticos para tu recuperación. Mi sugerencia es hacer una consulta telefónica para programar una valoración en nuestras instalaciones con nuestros expertos. <br><a class="chatSuggest" onclick="$(this).hide(); chatSuggest('Atención telefónica')";>Atención telefónica</a><br> <a class="chatSuggest" onclick="$(this).hide(); chatSuggest('Servicios')";>Sobre Acuaquinetix</a>
Columna/Hernias,La acuaterapia es beneficiosa para problemas en la columna y hernias de disco. En el agua siempre la gravedad es menos por lo que se reduce la presión en la columna... Esto logra aliviar el dolor y mejorar la movilidad dando oportunidad a una recuperación.<br>Podemos encontrar una rutina de ejercicios que te funcione. Hablemos más en consulta en las instalaciones para adaptar un plan a tu medida.<br>Programa una valoración en nuestras instalaciones: <br><a class="chatSuggest" onclick="$(this).hide(); chatSuggest('Atención telefónica')";>Atención telefónica</a><br> <a class="chatSuggest" onclick="$(this).hide(); chatSuggest('Servicios')";>Sobre Acuaquinetix</a>
Huesos/Artrosis,La acuaterapia es beneficiosa para problemas en huesos y artrosis. En el agua los ejercicios son suaves para las articulaciones y huesos lo que alivia el dolor y mejora la movilidad. Es posible trabajar juntos con ejercicios específicos en el agua para ayudarte a sentirte mejor...<br>Solicita una consulta telefónica para programar una valoración en nuestras instalaciones para comenzar un plan acorde a tus necesidades. <br><a class="chatSuggest" onclick="$(this).hide(); chatSuggest('Atención telefónica')";>Atención telefónica</a><br> <a class="chatSuggest" onclick="$(this).hide(); chatSuggest('Servicios')";>Sobre Acuaquinetix</a>
Artritis,Existen muchos beneficios al indicar ejercicios en agua cuando hay problemas de artritis. En el agua los ejercicios son suaves para las articulaciones lo que alivia el dolor y mejora la flexibilidad. Hablemos más en consulta para adaptar un plan a tus necesidades... lograremos incrementar tu bienestar... Solicita una consulta telefónica para programar una valoración y elaboración de un plan de ejercicios en nuestras instalaciones. <br><a class="chatSuggest" onclick="$(this).hide(); chatSuggest('Atención telefónica')";>Atención telefónica</a><br> <a class="chatSuggest" onclick="$(this).hide(); chatSuggest('Servicios')";>Sobre Acuaquinetix</a>
Parkinson/Temblor,En el agua los movimientos son más suaves y controlados lo que puede ayudar a mejorar la coordinación y reducir los temblores e incluso retrasar la progresión del Parkinson. Trabajemos juntos en ejercicios específicos en el agua para abordar necesidades específicas con una plan personalizado. Solicita una consulta telefónica para programar una valoración en nuestras instalaciones. <br><a class="chatSuggest" onclick="$(this).hide(); chatSuggest('Atención telefónica')";>Atención telefónica</a><br> <a class="chatSuggest" onclick="$(this).hide(); chatSuggest('Servicios')";>Sobre Acuaquinetix</a>
Post-Operatorio,La acuaterapia es beneficiosa para el post-operatorio. En el agua los movimientos son suaves y menor el impacto... las rutinas de ejercicios dirigidos pueden ayudar a reducir la hinchazón y mejorar la circulación acelerando la recuperación... Agenda una visita a las instalaciones para que te expliquemos cómo podemos trabajar juntos en ejercicios específicos en el agua para ayudarte a sanar más rápido. Seguimos las indicaciones de su médico...<br>En una visita a las instalaciones podemos explicar sobre nuestro plan personalizado... Llámanos para más detalles<br><a class="chatSuggest" onclick="$(this).hide(); chatSuggest('Atención telefónica')";>Atención telefónica</a><br> <a class="chatSuggest" onclick="$(this).hide(); chatSuggest('Servicios')";>Sobre Acuaquinetix</a>
ACV/Embolias,La acuaterapia es beneficiosa para problemas de ACV y embolias... Esto se debe principalmente a que en el agua los ejercicios son suaves y pueden mejorar la fuerza muscular y la coordinación. Lo anterior puede ayudar en la recuperación enormemente. Trabajemos juntos en ejercicios específicos en el agua acordes a tus necesidades.<br>Solicita una consulta telefónica para programar una valoración en nuestras instalaciones. <br><a class="chatSuggest" onclick="$(this).hide(); chatSuggest('Atención telefónica')";>Atención telefónica</a><br> <a class="chatSuggest" onclick="$(this).hide(); chatSuggest('Servicios')";>Sobre Acuaquinetix</a>
Atención telefónica,Puedes contactar a nuestro especialista para agendar una valoración en nuestras instalaciones llamando al +52<a href="tel:(646) 388-18-42">(646) 388-18-42</a> o al +52<a href="tel:(646) 342-05-79">(646) 342-05-79</a>. ¡Gracias! <br> <a class="chatSuggest" onclick="$(this).hide(); chatSuggest('Enviar mis datos')";>Prefiero dejar mis datos</a><br>
Enviar mis datos,¡Excelente! Puedes dejar tus datos personales de forma segura con nosotros y recuerda que están protegidos!<br> Por favor escribe <u><b>en un solo mensaje tu nombre y número... si puedes agrega motivo de consulta</b></u>. Por ejemplo:<br><i>Soy Juan López y mi cel es (646) 300-50-20&#44; consulta por lesión deportiva</i>
Precios,De momento no cuento con mucha información de precios porque soy una IA y sigo aprendiendo, te sugiero consultar directo con un agente telefónico <br><a class="chatSuggest" onclick="$(this).hide(); chatSuggest('Atención telefónica')";>Atención telefónica</a><br> <a class="chatSuggest" onclick="$(this).hide(); chatSuggest('Servicios')";>Sobre Acuaquinetix</a>
